intersection84,2.000,2.000,0.000,1.000,1.000,0.000,1
intersection137,2.000,1.000,0.000,1.000,1.000,0.000,1
road70,2.000,2.000,0.000,1.000,1.000,0.000,1
barracks_wrong0,2.000,2.000,1.000,0.000,0.000,0.000,1
conference_center_parking_lot,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_lot_aisle1,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_lot_aisle3,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot58,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot54,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot55,1.000,1.000,0.000,1.000,1.000,0.000,1
gas_lane0,1.000,1.000,0.000,1.000,1.000,0.000,1
driveway24,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection26,1.000,1.000,0.000,1.000,1.000,0.000,1
driveway11,1.000,1.000,0.000,0.000,0.000,0.000,1
road40,1.000,1.000,0.000,0.000,0.000,0.000,1
road41,1.000,1.000,0.000,0.000,0.000,0.000,1
road44,1.000,1.000,0.000,0.000,0.000,0.000,1
road45,1.000,1.000,0.000,1.000,1.000,0.000,1
intersection200,1.000,1.000,0.000,1.000,1.000,0.000,1
street_double_arrow_2,1.000,1.000,1.000,1.000,1.000,1.000,1
street5,1.000,1.000,0.000,0.000,0.000,0.000,1
street7,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection191,1.000,1.000,0.000,1.000,1.000,0.000,1
stop_sign_68,1.000,1.000,1.000,0.000,0.000,0.000,1
intersection58,1.000,1.000,0.000,0.000,0.000,0.000,1
stop_sign_61,1.000,1.000,1.000,0.000,0.000,0.000,1
intersection52,1.000,1.000,0.000,0.000,0.000,0.000,1
stop_sign_64,1.000,1.000,1.000,1.000,1.000,1.000,1
stop_sign_67,1.000,1.000,1.000,0.000,0.000,0.000,1
intersection51,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection101,1.000,1.000,0.000,0.000,0.000,0.000,1
stop_sign_12,1.000,1.000,1.000,0.000,0.000,0.000,1
parking_lot_aisle43,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_lot_aisle46,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_lot_aisle48,1.000,1.000,0.000,0.000,0.000,0.000,1
building0,1.000,1.000,0.000,0.000,0.000,0.000,1
building3,1.000,1.000,0.000,1.000,1.000,0.000,1
street_stop_9,1.000,1.000,1.000,0.000,0.000,0.000,1
parking_spot130,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot136,1.000,1.000,0.000,0.000,0.000,0.000,1
road176,1.000,1.000,0.000,0.000,0.000,0.000,1
stop_sign_50,1.000,1.000,1.000,0.000,0.000,0.000,1
stop_sign_56,1.000,1.000,1.000,0.000,0.000,0.000,1
golf_course,1.000,1.000,1.000,1.000,1.000,1.000,1
street_arrow_1,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot142,1.000,1.000,0.000,1.000,1.000,0.000,1
street_sign_0,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot43,1.000,1.000,1.000,0.000,0.000,0.000,1
stop_sign_46,1.000,1.000,1.000,0.000,0.000,0.000,1
driveway13,1.000,1.000,0.000,0.000,0.000,0.000,1
driveway14,1.000,1.000,0.000,0.000,0.000,0.000,1
driveway16,1.000,1.000,0.000,0.000,0.000,0.000,1
road57,1.000,1.000,0.000,0.000,0.000,0.000,1
road54,1.000,1.000,0.000,0.000,0.000,0.000,1
road59,1.000,1.000,0.000,1.000,1.000,0.000,1
road58,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot102,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_spot106,1.000,1.000,1.000,0.000,0.000,0.000,1
parking_spot94,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_lot_0,1.000,1.000,1.000,0.000,0.000,0.000,1
road133,1.000,1.000,0.000,1.000,1.000,0.000,1
road132,1.000,1.000,0.000,0.000,0.000,0.000,1
parking_lot_aisle37,1.000,1.000,0.000,1.000,1.000,0.000,1
parking_spot117,1.000,1.000,0.000,1.000,1.000,0.000,1
intersection92,1.000,1.000,0.000,1.000,1.000,0.000,1
417_macoon_wrong_0,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection91,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection94,1.000,1.000,0.000,0.000,0.000,0.000,1
intersection95,1.000,1.000,0.000,0.000,0.000,0.000,1
road18,1.000,1.000,0.000,0.000,0.000,0.000,1
